from_acct_id,to_acct_id,txn_date,amount,Currency
4777371911,5975662218,2022-12-12 09:09:01.407188,80137.57,EUR
2634136462,9534186926,2023-05-09 09:09:01.407212,45971.22,EUR
2252325660,6414010775,2022-11-08 09:09:01.407226,26608.55,EUR
6018260157,5368997636,2023-02-07 09:09:01.407239,65744.99,EUR
2778111709,4663167016,2022-09-15 09:09:01.407251,993.42,EUR
4933770302,1714822638,2022-11-29 09:09:01.407263,70781.8,EUR
0301094886,6226881665,2022-08-04 09:09:01.407276,7675.97,EUR
1710364564,3762848428,2023-05-31 09:09:01.407289,84095.44,EUR
5795844996,7958096656,2022-10-07 09:09:01.407301,1612.43,EUR
4928397674,4498479757,2023-07-04 09:09:01.407313,147.28,EUR
0655239167,7494260329,2023-01-30 09:09:01.407325,2313.05,EUR
4827092885,6478894601,2022-08-03 09:09:01.407337,12900.17,EUR
0602146198,6561025563,2022-12-04 09:09:01.407349,20866.63,EUR
4303982738,5567826764,2023-02-08 09:09:01.407362,25931.2,EUR
6717169112,0055539123,2023-03-20 09:09:01.407375,39577.86,EUR
9012335025,4005121906,2023-06-30 09:09:01.407387,30774.99,EUR
4411296550,3694284209,2023-01-01 09:09:01.407419,20647.48,EUR
4879341671,9961877543,2023-06-01 09:09:01.407437,2460.26,EUR
4701297138,3577848153,2023-04-16 09:09:01.407454,52121.91,EUR
9604829279,3430598671,2022-12-22 09:09:01.407467,52616.57,EUR
8180823006,7364708183,2022-10-19 09:09:01.407479,59769.06,EUR
0305880642,3072036075,2023-01-13 09:09:01.407492,39346.04,EUR
9952418008,5049941003,2023-02-28 09:09:01.407504,20367.65,EUR
3074378730,8904191945,2022-11-29 09:09:01.407516,1740.88,EUR
5074473783,4410482954,2023-02-20 09:09:01.407528,29270.22,EUR
4821154578,6711317990,2023-03-28 09:09:01.407541,2592.25,EUR
3715271571,7324210966,2022-08-21 09:09:01.407558,88.06,EUR
7194293013,0751868610,2023-04-17 09:09:01.407573,2415.25,EUR
1130097588,9563301075,2023-04-29 09:09:01.407587,9875.86,EUR
4237654306,8453509967,2022-12-08 09:09:01.407601,35066.06,EUR
1122160010,9028006318,2023-01-06 09:09:01.407615,1603.76,EUR
1235272985,1082088080,2022-12-15 09:09:01.407640,41462.26,EUR
8997071376,7246545324,2023-03-04 09:09:01.407654,5703.76,EUR
3541956144,1569651765,2022-11-28 09:09:01.407670,44868.46,EUR
4922907015,0986571818,2022-11-12 09:09:01.407686,2325.67,EUR
3550649586,4293687752,2023-06-22 09:09:01.407701,1494.23,EUR
3694284209,0653268884,2023-05-20 09:09:01.407717,61057.82,EUR
0029673158,5894572927,2023-01-11 09:09:01.407731,13543.29,EUR
4927196334,8364923013,2023-07-20 09:09:01.407747,38511.73,EUR
6744711164,6668723940,2022-12-01 09:09:01.407763,6279.34,EUR
2051367724,1672240574,2023-07-13 09:09:01.407775,25989.1,EUR
7471527315,7954087039,2023-08-01 09:09:01.407788,8489.24,EUR
8196946008,1809406462,2022-11-07 09:09:01.407801,6285.54,EUR
1165506807,9979791778,2022-12-03 09:09:01.407817,12329.81,EUR
6519526210,4108281772,2023-02-18 09:09:01.407833,30927.19,EUR
3711949813,9365618083,2023-01-21 09:09:01.407849,65895.65,EUR
8370947025,6495373601,2022-09-13 09:09:01.407865,78418.28,EUR
9771022383,8154137775,2022-08-03 09:09:01.407881,64579.02,EUR
7341944491,9977506738,2023-01-31 09:09:01.407895,64688.56,EUR
9601538535,4817347675,2023-07-25 09:09:01.407907,6665.23,EUR
6922980380,5471485494,2022-11-10 09:09:01.407920,75105.79,EUR
8333532172,8611734254,2023-05-07 09:09:01.407932,86555.7,EUR
8605460702,3652850143,2022-10-31 09:09:01.407944,150.97,EUR
2145243689,5631750747,2022-10-28 09:09:01.407956,47221.66,EUR
2516802443,8124038835,2022-11-02 09:09:01.407968,1123.87,EUR
7875425664,6161254338,2023-06-09 09:09:01.407980,56963.57,EUR
8437730538,5329074429,2023-01-03 09:09:01.407992,18049.28,EUR
4906495628,2998057867,2023-02-01 09:09:01.408003,8765.39,EUR
0812880280,7686347344,2023-02-11 09:09:01.408015,52771.48,EUR
5456744402,2697780719,2022-12-23 09:09:01.408028,17001.31,EUR
3917763769,7975163527,2023-05-04 09:09:01.408040,2450.66,EUR
5373186400,5301326604,2023-02-13 09:09:01.408052,68219.22,EUR
5257584678,1302883187,2023-02-19 09:09:01.408063,16397.69,EUR
9244587134,2162349991,2023-02-07 09:09:01.408075,5185.72,EUR
5945970251,0112676466,2023-03-24 09:09:01.408087,20198.88,EUR
3194892889,7356165422,2023-07-02 09:09:01.408098,22565.42,EUR
8579822970,3229904345,2023-04-08 09:09:01.408110,32644.84,EUR
7749755760,5361962430,2023-05-22 09:09:01.408122,19774.68,EUR
8783773358,1221748965,2022-09-01 09:09:01.408134,53957.92,EUR
6409102639,9446871336,2022-10-10 09:09:01.408146,2126.03,EUR
5826852627,7399163586,2023-04-19 09:09:01.408158,46277.82,EUR
1933540084,9708425812,2023-03-23 09:09:01.408170,18422.77,EUR
6793361545,3776606127,2023-02-16 09:09:01.408182,11484.87,EUR
9557359965,7671555867,2023-07-28 09:09:01.408196,2376.27,EUR
7092562092,2561684088,2023-06-29 09:09:01.408208,530.88,EUR
3507374324,3577848153,2023-02-23 09:09:01.408220,1153.69,EUR
2474858705,7437925636,2022-09-08 09:09:01.408232,78619.64,EUR
0585021329,2499439120,2023-05-19 09:09:01.408244,31559.45,EUR
3475191304,9705615916,2022-09-02 09:09:01.408256,31221.99,EUR
8935051599,6175102335,2022-08-14 09:09:01.408268,66398.79,EUR
4960877288,5294783391,2022-08-31 09:09:01.408280,8366.77,EUR
1033589660,4857340566,2022-10-08 09:09:01.408292,3525.01,EUR
6771961373,9420586323,2022-11-30 09:09:01.408304,29722.18,EUR
3481659894,7737218726,2022-11-17 09:09:01.408317,23091.17,EUR
3229904345,3610818895,2022-08-05 09:09:01.408329,59805.39,EUR
9504216068,3760542726,2023-03-19 09:09:01.408341,19108.8,EUR
6891003170,9945642370,2022-12-14 09:09:01.408353,13209.76,EUR
7636591485,9798648526,2022-11-23 09:09:01.408364,3036.17,EUR
2740399845,3299449328,2023-01-29 09:09:01.408376,11119.34,EUR
6429129821,6523083010,2022-11-28 09:09:01.408389,32959.85,EUR
6160623324,6498013352,2023-03-11 09:09:01.408413,47607.01,EUR
7619038140,9267975095,2023-07-30 09:09:01.408426,17761.22,EUR
9373766869,3844177932,2023-07-26 09:09:01.408438,65826.79,EUR
5553836428,9139266717,2023-03-13 09:09:01.408451,20182.13,EUR
2941605400,6217015794,2023-02-24 09:09:01.408462,6638.4,EUR
3861770759,4264585014,2023-04-05 09:09:01.408474,12481.71,EUR
6728448405,6161182047,2023-02-06 09:09:01.408485,6531.95,EUR
5653606493,2491986893,2023-06-17 09:09:01.408497,27187.12,EUR
0397104572,2873901873,2022-10-14 09:09:01.408509,34263.02,EUR
3015317637,3888162885,2022-11-27 09:09:01.408521,6423.81,EUR
0746936649,7577723387,2023-06-08 09:09:01.408532,26539.3,EUR
4466013666,2051367724,2023-07-04 09:09:01.408543,26412.44,EUR
2979400170,0308306619,2022-11-11 09:09:01.408555,16510.2,EUR
5958045939,6525878054,2022-11-09 09:09:01.408566,37153.87,EUR
2428601530,6161254338,2023-06-14 09:09:01.408578,11813.79,EUR
4113016638,6018260157,2023-05-16 09:09:01.408591,13429.41,EUR
0549304447,5784679176,2022-11-15 09:09:01.408603,328.41,EUR
1369425016,3853714137,2023-07-28 09:09:01.408616,22165.9,EUR
4034287230,6026738905,2023-01-19 09:09:01.408638,1149.22,EUR
4532492796,8293474818,2023-04-03 09:09:01.408650,769.77,EUR
3851203754,9522322566,2023-01-16 09:09:01.408663,25037.39,EUR
5892550541,9546657597,2023-03-03 09:09:01.408675,15244.68,EUR
9134832433,7673002517,2022-11-02 09:09:01.408686,17376.85,EUR
3433038621,5856916156,2023-03-09 09:09:01.408698,15124.73,EUR
5369128751,0496404997,2022-10-24 09:09:01.408709,27869.09,EUR
4879819590,6759681684,2023-01-07 09:09:01.408721,6137.51,EUR
