acct_id,name,balance
9545477520,Account Owner 651,64255.29
1221748965,Account Owner 427,20194.37
3094966134,Account Owner 62,30855.42
7312497406,Account Owner 513,48744.51
4232699957,Account Owner 653,92230.45
3382548856,Account Owner 892,60161.35
1047075591,Account Owner 138,11595.97
3775346169,Account Owner 167,11466.18
8330650701,Account Owner 411,58562.6
8363377854,Account Owner 427,96607.8
5657438731,Account Owner 733,52045.37
1558724994,Account Owner 926,11148.97
2460930575,Account Owner 664,80808.73
2830007282,Account Owner 559,58342.86
3404135285,Account Owner 627,63204.34
6509656295,Account Owner 966,79167.01
3024748519,Account Owner 135,52481.99
5616696010,Account Owner 40,50368.9
6691442106,Account Owner 304,19671.3
0861443559,Account Owner 167,19412.45
7871480786,Account Owner 89,27076.75
5820071781,Account Owner 518,10660.7
4558575564,Account Owner 849,77142.1
2845915499,Account Owner 653,42792.47
3542899233,Account Owner 176,32242.19
9350027435,Account Owner 792,14256.12
7713333032,Account Owner 58,51895.66
7099108237,Account Owner 408,89046.9
9268135649,Account Owner 720,6255.2
2908813563,Account Owner 616,99628.15
7606004478,Account Owner 846,20281.28
0388743535,Account Owner 405,81023.74
4747802002,Account Owner 460,29627.95
6678431683,Account Owner 588,83388.21
0341832499,Account Owner 447,61596.77
6690630602,Account Owner 626,37340.28
5836126393,Account Owner 199,31115.74
3978035018,Account Owner 830,77416.38
3852659244,Account Owner 10,14349.55
0103364185,Account Owner 79,26238.14
9304564524,Account Owner 4,13253.3
3165216766,Account Owner 129,1100.49
7478542770,Account Owner 518,55672.33
6742161951,Account Owner 278,31444.04
3134253053,Account Owner 259,8961.62
1152382128,Account Owner 791,35887.17
3969340336,Account Owner 604,47460.16
7048184812,Account Owner 214,88638.61
6286213556,Account Owner 795,46308.76
3180660233,Account Owner 703,65732.69
5840365319,Account Owner 147,7033.59
7067272363,Account Owner 287,72355.66
4079635593,Account Owner 465,87522.9
2949584575,Account Owner 755,2358.53
9159869297,Account Owner 458,43733.11
7773749695,Account Owner 85,93839.81
5287752913,Account Owner 19,57853.63
8591142278,Account Owner 771,90899.67
1857519721,Account Owner 567,26974.65
9913354923,Account Owner 434,32673.72
8741127274,Account Owner 590,67697.86
4675422467,Account Owner 575,54885.01
4705477471,Account Owner 104,25748.77
1001767543,Account Owner 164,3647.52
9599532929,Account Owner 953,2327.43
6197556033,Account Owner 917,90328.65
1039482513,Account Owner 375,22594.07
0964221903,Account Owner 239,84244.85
6210327879,Account Owner 680,59836.54
8449901767,Account Owner 229,39771.45
2886169194,Account Owner 3,96527.19
5623562715,Account Owner 101,2019.8
6658864016,Account Owner 53,71524.69
6717169112,Account Owner 489,61734.88
9777924368,Account Owner 86,63634.29
4667021544,Account Owner 961,92947.78
9405132407,Account Owner 348,59034.96
5090104178,Account Owner 188,23112.18
7205439135,Account Owner 140,61735.54
3541988978,Account Owner 418,6324.38
0335478281,Account Owner 223,69795.19
2314905558,Account Owner 764,41110.19
9974974082,Account Owner 262,97135.0
4235841706,Account Owner 922,79935.87
8538813717,Account Owner 511,55196.84
7126677344,Account Owner 41,90966.21
4074143525,Account Owner 582,99185.98
2730842902,Account Owner 666,36747.31
4263647684,Account Owner 727,86160.1
8265562826,Account Owner 713,17882.42
5018919372,Account Owner 359,27532.16
2184724041,Account Owner 329,89628.83
2886549003,Account Owner 831,56535.76
0309252880,Account Owner 256,52759.77
8393674051,Account Owner 217,73104.38
6076908448,Account Owner 91,52756.7
5609090048,Account Owner 191,6760.11
6914428526,Account Owner 658,41305.84
